stack,request count,package,package count,host,host count,url,url count,post file name,
com.loc.ee,1,{'com.nansong.fliqlo'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=2&platform=1&channel=open&sign=d8b8f9973e1da5b51dfedc91db47a439,1,{'com.nansong.fliqlo.apk1620449970.6437676.pcap__192.168.137.71_47036__203.119.211.251_443__upload.zip'},set()
com.loc.dn,4,"{'com.taobao.movie.android', 'com.nansong.fliqlo'}",2,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=22f2d2789234ec9c3ac3e0ebcc461621 https://logs.amap.com/ws/log/upload?product=1&type=2&platform=1&channel=open&sign=d8b8f9973e1da5b51dfedc91db47a439,2,"{'com.nansong.fliqlo.apk1620449970.6437676.pcap__192.168.137.71_47036__203.119.211.251_443__upload.zip', 'com.taobao.movie.android.apk1620819962.4526255.pcap__192.168.137.71_46740__140.205.230.4_443__upload.zip'}",set()
com.loc.ay,2,"{'com.boqii.petlifehouse', 'android.com.seawave'}",2,{'logs.amap.com'},1,http://logs.amap.com/ws/log/upload?product=1&type=2&platform=1&channel=open&sign=fc19a286c8a6bf4217abfb009d8e389c http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=afc17511a83a6c04a8dfd3f4be0f6179,2,"{'android.com.seawave.apk1620483318.58614.pcap__192.168.137.71_49422__106.11.14.3_80__upload.zip', 'com.boqii.petlifehouse.apk1620621890.9343934.pcap__192.168.137.71_40228__140.205.172.7_80__upload.zip'}",set()
com.bytedance.sdk,168,"{'com.jxedt', 'com.qianqianw.hzzs'}",2,"{'logs.amap.com', 'legoapi.jxedt.com'}",2,https://legoapi.jxedt.com/v1/coke https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=c3f24af8ae2920e8ca6abc999889a272,2,"{'com.jxedt.apk1621516131.262261.pcap__192.168.137.200_46806__123.206.235.100_443__marking.zip', 'com.qianqianw.hzzs.apk1620530151.9441419.pcap__192.168.137.71_42470__203.119.211.252_443__upload.zip'}",{'358123091482602'}
com.appdynamics.eumagent,2,{'cn.com.hsbc.hsbcchina'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=01ed2f4f04489e27f1b530fce7dc686f,1,{'cn.com.hsbc.hsbcchina.apk1620629655.8410923.pcap__192.168.137.71_40330__140.205.172.7_443__upload.zip'},set()
com.autonavi.base,4,"{'com.sh3droplets.android.surveyor', 'com.szzc.ucar.pilot'}",2,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=2&platform=1&channel=open&sign=1287ad8fc35b4c2baa15d8fcedae90c7 https://logs.amap.com/ws/log/upload?product=1&type=2&platform=1&channel=open&sign=d61139e80c2b441b4354852be4558434,2,"{'com.szzc.ucar.pilot.apk1621633497.655446.pcap__192.168.137.44_38558__203.119.211.251_443__upload.zip', 'com.sh3droplets.android.surveyor.apk1620659958.7067292.pcap__192.168.137.71_38592__203.119.211.252_443__upload.zip'}",set()
com.loc.ak,4,"{'com.sohu.auto.helper', 'com.sohu.auto.sohuauto'}",2,{'logs.amap.com'},1,http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=d93756d5e7e2e8493ff40b7c029ab154 http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=472e96769f2f149ec2f3d41995df4659,2,"{'com.sohu.auto.sohuauto.apk1620664449.494324.pcap__192.168.137.71_40584__106.11.14.3_80__upload.zip', 'com.sohu.auto.helper.apk1621453117.063765.pcap__192.168.137.200_47458__140.205.172.75_80__upload.zip'}",set()
com.loc.ah,4,"{'com.sohu.auto.helper', 'com.sohu.auto.sohuauto'}",2,{'logs.amap.com'},1,http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=d93756d5e7e2e8493ff40b7c029ab154 http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=472e96769f2f149ec2f3d41995df4659,2,"{'com.sohu.auto.sohuauto.apk1620664449.494324.pcap__192.168.137.71_40584__106.11.14.3_80__upload.zip', 'com.sohu.auto.helper.apk1621453117.063765.pcap__192.168.137.200_47458__140.205.172.75_80__upload.zip'}",set()
anet.channel.session,3,{'com.tmall.wireless'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=e8f7d3d3790d2b2d4a964858a4d2ce05,1,{'com.tmall.wireless.apk1620810410.6837244.pcap__192.168.137.71_37854__203.119.211.252_443__upload.zip'},set()
com.loc.ab,2,{'com.taobao.movie.android'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=22f2d2789234ec9c3ac3e0ebcc461621,1,{'com.taobao.movie.android.apk1620819962.4526255.pcap__192.168.137.71_46740__140.205.230.4_443__upload.zip'},set()
com.loc.dx,1,{'com.taobao.movie.android'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=22f2d2789234ec9c3ac3e0ebcc461621,1,{'com.taobao.movie.android.apk1620819962.4526255.pcap__192.168.137.71_46740__140.205.230.4_443__upload.zip'},set()
com.moji.requestcore,5,{'com.moji.mjweather.light'},1,{'stat.moji.com'},1,http://stat.moji.com/aMoUp,1,{'com.moji.mjweather.light.apk1620893220.480822.pcap__192.168.137.71_49844__59.110.90.177_80__lla.zip'},set()
com.moji.statistics,3,{'com.moji.mjweather.light'},1,{'stat.moji.com'},1,http://stat.moji.com/aMoUp,1,{'com.moji.mjweather.light.apk1620893220.480822.pcap__192.168.137.71_49844__59.110.90.177_80__lla.zip'},set()
com.baidu.location,1,{'com.elong.hotel.ui'},1,{'logs.amap.com'},1,https://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=4a46c63a5ee0770c766534e8d09a3fab,1,{'com.elong.hotel.ui.apk1620990573.8596003.pcap__192.168.137.71_39128__203.119.211.252_443__upload.zip'},set()
smallapp.aib.flush,1,{'com.qihoo.magic'},1,{'sjws.ssl.qihucdn.com'},1,http://sjws.ssl.qihucdn.com/mobilesafe/andr_v5/20200612-1531/library.dat,1,{'com.qihoo.magic.apk1621086491.3935566.pcap__192.168.137.200_37358__58.205.218.19_80__library.dat.zip'},set()
com.loc.bm,2,{'com.yifanjie.yifanjie'},1,{'logs.amap.com'},1,http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=e8cac0295ede51d0ea33d63372eb3f0e,1,{'com.yifanjie.yifanjie.apk1621145860.1291378.pcap__192.168.137.200_41964__203.119.211.252_80__upload.zip'},set()
com.loc.bj,2,{'com.yifanjie.yifanjie'},1,{'logs.amap.com'},1,http://logs.amap.com/ws/log/upload?product=1&type=1&platform=1&channel=open&sign=e8cac0295ede51d0ea33d63372eb3f0e,1,{'com.yifanjie.yifanjie.apk1621145860.1291378.pcap__192.168.137.200_41964__203.119.211.252_80__upload.zip'},set()
com.talkingdata.sdk,7,{'com.shuhekeji'},1,{'stats.api.lattebank.com'},1,https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=9a9bca36-5ed5-46a5-9ea4-5dd2642dcdda.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E7%94%A8%E5%AE%9D&did=DuYOIKhSNymnultYF6vEhXfrssKte5%2F20JIR8cjWdMjS3n2MPVH07IcSVrFKwHO74b6jA%2F6vV3NWMmueAlFdvVMw&d_b=google&d_m=Pixel%203&d_v=9&p_l=&p_p=1&p_v=100000,1,{'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_49400__39.106.33.81_443__data.zip'},set()
com.sensorsdata.analytics,6,{'com.shuhekeji'},1,{'stats.api.lattebank.com'},1,https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=a6403078-7916-4b7d-ac83-6e69259ca8d1.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E7%94%A8%E5%AE%9D&did=DuYOIKhSNymnultYF6vEhXfrssKte5%2F20JIR8cjWdMjS3n2MPVH07IcSVrFKwHO74b6jA%2F6vV3NWMmueAlFdvVMw&d_b=google&d_m=Pixel%203&d_v=9&p_l=&p_p=1&p_v=100000 https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=f6b65d1d-df9a-4676-b21e-d8704338dc88.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E7%94%A8%E5%AE%9D&did=DuYOIKhSNymnultYF6vEhXfrssKte5%2F20JIR8cjWdMjS3n2MPVH07IcSVrFKwHO74b6jA%2F6vV3NWMmueAlFdvVMw&d_b=google&d_m=Pixel%203&d_v=9&p_l=&p_p=1&p_v=100000 https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=1773974f-235b-4798-aa91-040395dce9fb.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E,3,"{'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_49470__39.106.33.81_443__data.zip', 'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_37000__39.106.33.81_443__data.zip', 'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_49950__39.106.33.81_443__data.zip'}",set()
com.bumptech.glide,22,{'com.shuhekeji'},1,{'stats.api.lattebank.com'},1,https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=fcc099a8-d00c-42f5-a0d8-0663c3b0b18c.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E7%94%A8%E5%AE%9D&did=DuYOIKhSNymnultYF6vEhXfrssKte5%2F20JIR8cjWdMjS3n2MPVH07IcSVrFKwHO74b6jA%2F6vV3NWMmueAlFdvVMw&d_b=google&d_m=Pixel%203&d_v=9&p_l=&p_p=1&p_v=100000 https://stats.api.lattebank.com/stats/shoot/gzip?p_c=0984D022EC8383286B785D7C1485E3B9&r_i=18dc9ca6-f6a9-4704-ba0a-309060b0b947.M&p_o=a&r_c=hb&r_e=hb&p_i=1050905&o_v=5.9.5&s_h=2028&s_w=1080&p_m=%E8%85%BE%E8%AE%AF%E5%BA%94%E7%94%A8%E5%AE%9D&did=DuYOIKhSNymnultYF6vEhXfrssKte5%2F20JIR8cjWdMjS3n2MPVH07IcSVrFKwHO74b6jA%2F6vV3NWMmueAlFdvVMw&d_b=google&d_m=Pixel%203&d_v=9&p_l=&p_p=1&p_v=100000,2,"{'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_49892__39.106.33.81_443__data.zip', 'com.shuhekeji.apk1621451122.8072212.pcap__192.168.137.200_49726__39.106.33.81_443__data.zip'}",set()
android.support.dontuse,4,{'com.autonavi.minimap'},1,{'page.amap.com'},1,https://page.amap.com/ws/page/upload/?ent=2&in=Znt3N5KxMccGrKBF3R7EdqW4QTU8h5fMB0dxhdgolI6z%2FJeMviMiptFvRT3x4FJMbE%2BeHDk0OAk0FOtlD9oyLRjEahVTgItfNe6hsV4LDc4UM9WWhsS%2Fk6PIJ%2BUrfRxFptWQuPZrTbDRKjjTRBAEXFl9UbsAjZ9%2F5qkVvJOnbewKWduhYQgD4nsTXm8IiTbkJs5U3W1HPPz5wW%2FzeRO%2BF4WP1919RHNOf06S5mxrWhYjBhJEfzUfVOUE6gotRRNShLP%2FRn5FSiZU0S4wYx5rhPVpJvGbj772LKv5mNqbINhVU%2BlIEcpaueXHTwPjXRp%2BPi12jUhcIAtUJtUtFXbZGcN1IoK4RD0GaW31273zsK%2BLlvE6Z%2FVQZ%2BVH0bxV76779%2Be3AaSNfwU2CV4jVPx%2F1%2B9CJiyDuU2GgSXCyEY3rz7CDtSdvuHawKION7AVTHl9I23L84locdDg6uudnGmqNAqRHGbow00RkKcjdMcxHpZwrp9iJl44TXsS%2BOWO9INdoEDFZrkRjNnsn2xe4ROhTm%2Fjy8DO0BkGOwD4%2BqrjHbCNH0vbWJhAcrRm3%2B97HNjxqBhle8v1M3TXppSsmJjHn72QUmxFOLGXDddRHeELF6soe0l2qIKwb549kcZv7eq2LkMvpSLnkfBfDnvta4XcMydif9jTVXlpRMSTTUYv1b32rmvJOSNWd24FWQS%2BIAnuGVYTwo8%2B9SavEJvPXkalE2jiY6xLpghfbpdX%2B5lS9Q7bMeaT59cFoAE44pSXR4HolVwgNIToicmVy06ZI4Vb4kg6oUOd0LZTNEWJBymLYb6MnRmTv5FIEdEfhGlbNBtSj35p5U%2Fsots4eAJcfyr1BI6uYEAR5JvYlXiTKkeRl%2BZmuRMddTvzYOq%2FFEa7qig1jcknB,4,"{'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40396__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40398__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40426__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40424__140.205.172.7_443__.zip'}",set()
ym1.send,78,{'com.autonavi.minimap'},1,{'page.amap.com'},1,https://page.amap.com/ws/page/upload/?ent=2&in=zxOobWsiy96P8DIiEZjgj%2FB7PdRgDo4H6%2FUUXri9pyqRau%2BhqcyqTF2sdpVW1YgtEwv0K0f%2BeqYvkyD7aRMpMfADrVGta%2B9h%2BEBSWbibx%2BmfZqQEVezJpyWoY%2FiCz0Jw7PdEU9C14QjZVJB8iPnOlyxVrJji6wKPsRoQPajCpn1dfJU2YSgpZ3TsgDUHxTe3dLG3Q6Qvp6V1%2BMJ5mOpFY5EALatT0kxV19fJ3CtgicgwYhkMieH34hlITGZhZtfwlXxDVZWJb5HPr8jiwJ0eu80VaTZcLJdo274rL7LaMsYKYMXFFTO21Q6F0qGTXqhI%2B6CNYRYePdkiw%2Fqtg7TvVnIePueRFjVSKdppmdHW34O0hmwlqEZNoHaeO3ynC75Z%2BPEwsZ6IQkWVCs4hV2vn%2BtK3cboI0dWIoaAV8ySxHoMX7QhUqbCX5SW8nmD3Zqr%2BKNtKpFhR%2Bxk4%2ByuPqZVVLwc2LYauIXvYkUzDx1ScHOCMhINJIvRq3uRf%2Frovg93dgHYtwVdUWt4UQ8%2BFcueCA%2FKnY9HS18Xd33IK3immaJ%2BtRWpuz0TkdIBRsjaHnTcF4bAzzYI2awok7Amn0XhWQmMf62PjfqNB2TZWppItJ9B9rHZcmgin%2FQaRCM9QRmFJl4Ckp1CE%2B50AQbMum7eakRoLqpW0IbMg8zKbY7NhXAYPqAHZW90K54xwdLDVGAb8v5mDkLPSZwfyFiDb%2B0Sc6b6IM4TvZ1JsKsJrxRiQuGE0xhdS6l85zZwk02qLHJkGaF79%2BVFSysYntLjZzM85paU3Up%2BVr%2BNtuc99bI7C7n9BwrPkFiIgU0G4yYGKXfCem3x2%2FGwSmynolsrUfLGL37ok0L%2BH9xQr6qy1UnT6kNByhCUpMcB8Dw%3D%3D&csid,78,"{'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40410__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40402__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40420__140.205.172.7_443__.zip'}",set()
be0.send,78,{'com.autonavi.minimap'},1,{'page.amap.com'},1,https://page.amap.com/ws/page/upload/?ent=2&in=zxOobWsiy96P8DIiEZjgj%2FB7PdRgDo4H6%2FUUXri9pyqRau%2BhqcyqTF2sdpVW1YgtEwv0K0f%2BeqYvkyD7aRMpMfADrVGta%2B9h%2BEBSWbibx%2BmfZqQEVezJpyWoY%2FiCz0Jw7PdEU9C14QjZVJB8iPnOlyxVrJji6wKPsRoQPajCpn1dfJU2YSgpZ3TsgDUHxTe3dLG3Q6Qvp6V1%2BMJ5mOpFY5EALatT0kxV19fJ3CtgicgwYhkMieH34hlITGZhZtfwlXxDVZWJb5HPr8jiwJ0eu80VaTZcLJdo274rL7LaMsYKYMXFFTO21Q6F0qGTXqhI%2B6CNYRYePdkiw%2Fqtg7TvVnIePueRFjVSKdppmdHW34O0hmwlqEZNoHaeO3ynC75Z%2BPEwsZ6IQkWVCs4hV2vn%2BtK3cboI0dWIoaAV8ySxHoMX7QhUqbCX5SW8nmD3Zqr%2BKNtKpFhR%2Bxk4%2ByuPqZVVLwc2LYauIXvYkUzDx1ScHOCMhINJIvRq3uRf%2Frovg93dgHYtwVdUWt4UQ8%2BFcueCA%2FKnY9HS18Xd33IK3immaJ%2BtRWpuz0TkdIBRsjaHnTcF4bAzzYI2awok7Amn0XhWQmMf62PjfqNB2TZWppItJ9B9rHZcmgin%2FQaRCM9QRmFJl4Ckp1CE%2B50AQbMum7eakRoLqpW0IbMg8zKbY7NhXAYPqAHZW90K54xwdLDVGAb8v5mDkLPSZwfyFiDb%2B0Sc6b6IM4TvZ1JsKsJrxRiQuGE0xhdS6l85zZwk02qLHJkGaF79%2BVFSysYntLjZzM85paU3Up%2BVr%2BNtuc99bI7C7n9BwrPkFiIgU0G4yYGKXfCem3x2%2FGwSmynolsrUfLGL37ok0L%2BH9xQr6qy1UnT6kNByhCUpMcB8Dw%3D%3D&csid,78,"{'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40410__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40402__140.205.172.7_443__.zip', 'com.autonavi.minimap.apk1621480774.9092486.pcap__192.168.137.200_40420__140.205.172.7_443__.zip'}",set()
